step,opt_time,step_time,diff_norm
0,NaN,NaN,69.41027907415946
1,-1,5,0.8180380409260496
2,-1,1,0.13720696226514298
3,-1,0,0.00518661874980503
4,-1,1,0.0015806866123416331
5,-1,1,0.0002105229859967629
6,-1,1,0.00003104072837028728
7,-1,0,0
8,-1,0,0.00011050652311674095
9,-1,0,0.00009109778061773792
10,-1,1,0.000007346712200463111
11,-1,0,0
12,-1,0,0.000506175332195821
13,-1,0,0.0005886071003255313
14,-1,1,0.00008877765177941589
15,11,0,1
16,-1,3,0
17,-1,1,0
18,-1,0,0
19,-1,0,0
20,-1,0,0
21,-1,0,0
22,-1,0,0
23,-1,0,0
24,5,1,5.5
25,-1,1,0
26,-1,0,0
27,-1,0,0
28,-1,0,0
29,-1,0,0
30,-1,0,0
31,-1,0,0
32,-1,1,0
33,-1,0,0
34,-1,0,0
35,2,0,4.5
36,-1,1,0
37,-1,0,0
38,-1,1,0
39,-1,0,0
40,-1,0,0
41,-1,0,0
42,-1,0,0
43,-1,0,0
44,2,0,5
45,-1,2,0
46,-1,0,0
47,-1,0,0
48,-1,0,0
49,2,0,3.5
50,-1,1,0
51,-1,0,0
52,-1,0,0
53,-1,0,0
54,-1,0,0
55,-1,0,0
56,-1,1,0
57,-1,0,0
58,-1,0,0
59,2,0,3
60,-1,2,0
61,-1,0,0
62,-1,0,0
63,-1,0,0
64,-1,0,0
65,-1,0,0
66,-1,1,0
67,-1,0,0
68,-1,0,0
69,-1,1,0
70,4,0,4.5
71,-1,2,0
72,-1,0,0
73,-1,0,0
74,-1,0,0
75,-1,0,0
76,-1,0,0
77,-1,0,0
78,-1,0,0
79,3,1,8.649141034626464
80,-1,1,1.0930537552634854
81,-1,0,0.06852076609911499
82,-1,0,1.065776661924175
83,-1,0,0.05809362390714272
84,-1,1,0.018309118624980383
85,-1,0,0.0017410415369347161
86,-1,0,0.0003471098302175391
87,-1,0,0.00039498925878942326
88,-1,1,0.00013548739350394397
89,-1,0,0.00013022263765822856
90,-1,0,0
91,-1,0,0.00024513544521059534
92,-1,1,0.0002055252174411851
93,-1,0,0.000020108023210565168
94,-1,1,0
95,-1,0,0.000057585591456232154
96,-1,0,0.00002734680712540851
97,-1,0,4.791618791646523e-7
98,5,0,8.541535379300782
99,-1,1,2.3481918006828573
100,-1,1,0.04953413761351735
101,-1,0,0.13330588870416513
102,-1,0,0.05105191833493646
103,-1,0,2.1961489077705734
104,-1,1,0.11407384169650304
105,-1,0,0.009102015009097084
106,-1,0,0.006462085942401429
107,-1,0,0.0017218158161685186
108,-1,0,0.00023819238622360637
109,-1,0,0.0005749524742189824
