step,opt_time,step_time,diff_norm
0,-1,6,0.000002990389429507797
1,-1,1,0.000002990389429507797
2,-1,1,0.00000536846170309992
3,-1,1,0.00000536846170309992
4,14,1,0.000008151771778910886
5,-1,12,0.000003012327642778495
6,-1,0,0.000003012327642778495
7,-1,1,0.000005367745962562533
8,-1,6,1.0004684497307526
9,-1,0,1.0004684527344694
10,-1,1,1.0004684527344694
11,-1,0,1.0004684522728506
12,-1,6,1.0004428353070782
13,-1,0,1.0004428380153083
14,-1,0,1.0004428380153083
15,-1,1,1.0004428375392413
16,-1,0,1.0004428375392413
17,8,0,1.0004428374427048
18,-1,5,2.0008153930240034
19,-1,0,2.0008153967312117
20,-1,0,2.0008153967312117
21,-1,0,2.000815396480608
22,-1,1,2.000815396480608
23,-1,0,2.000815396434501
24,-1,6,2.00073184351122
25,-1,0,2.000731846424885
26,-1,0,2.000731846424885
27,-1,0,2.0007318461597348
28,-1,0,2.0007318461597348
29,7,1,2.0007318461167336
30,-1,4,2.000658668327936
31,-1,1,2.000658670646838
32,-1,0,2.000658670646838
33,-1,0,2.00065867036612
34,-1,0,2.00065867036612
35,6,1,2.0006586703270033
36,-1,4,6.001617041739145
37,-1,0,6.0016170450224955
38,-1,1,6.0016170450224955
39,-1,0,6.001617044910911
40,-1,0,6.001617044910911
41,6,1,6.001617044896785
42,-1,4,5.001034344790099
43,-1,0,5.001034346373852
44,-1,0,5.001034346373852
45,-1,1,5.001034346222612
46,-1,0,5.001034346222612
47,5,0,5.001034346205178
48,-1,5,3.0005170752379793
49,-1,0,3.0005170760792956
50,-1,0,3.0005170760792956
51,-1,1,3.000517075807135
52,-1,0,3.000517075807135
53,6,0,3.0005170757837982
54,-1,4,3.0004536210139756
55,-1,0,3.000453621700233
56,-1,0,3.000453621700233
57,-1,1,3.000453621405127
58,-1,0,3.000453621405127
59,5,0,3.000453621389494
60,-1,3,2.0002719372387396
61,-1,1,2.0002719378481078
62,-1,0,2.0002719378481078
63,-1,0,2.000271937362098
64,-1,0,2.000271937362098
65,-1,1,2.0002719430958265
66,6,1,2.0002722354575875
67,-1,4,2.00025028840297
68,-1,1,2.0002502881213142
69,-1,0,2.0002502881213142
70,-1,0,2.000250397675032
71,-1,0,2.000250397675032
72,-1,1,2.0002503240542677
73,6,0,2.0002503375694305
74,-1,4,2.0002308160571527
75,-1,0,2.0002308168635645
76,-1,1,2.0002308168635645
77,-1,0,2.0002308162219897
78,-1,0,2.0002308162219897
79,6,1,2.0002308160476954
80,-1,4,2.0002131797503258
81,-1,0,2.000213180327981
82,-1,0,2.000213180327981
83,-1,1,2.0002131797778606
84,-1,0,2.0002131797778606
85,5,0,2.000213179770038
86,-1,3,1.0001005057913537
87,-1,0,1.0001005065206428
88,-1,1,1.0001005065206428
89,-1,0,1.0001005047689526
90,-1,0,1.0001005047689526
91,-1,0,1.0001005198907211
92,5,1,1.0001007780340678
93,-1,3,1.0000965767443457
94,-1,0,1.0000965759492566
95,-1,0,1.0000965759492566
96,-1,1,1.0000965800475163
97,-1,0,1.0000965800475163
98,4,0,1.0000965762114615
99,-1,4,1.0000930710109321
100,-1,0,1.0000930715923877
101,-1,0,1.0000930715923877
102,-1,1,1.0000930689057783
103,-1,0,1.0000930689057783
104,-1,0,1.00009307178711
105,5,0,1.0000930730996784
106,-1,4,1.0000896079492987
107,-1,0,1.000089607699005
108,-1,0,1.000089607699005
109,-1,1,1.0000896091404188
110,-1,0,1.0000896091404188
111,-1,0,1.0000896031301951
112,5,0,1.000089649687857
113,-1,3,0.000017400451465084917
114,-1,0,0.000017400451465084917
115,-1,1,0.000017374774929307525
116,-1,0,0.000017374774929307525
117,4,0,0.000019259486338521958
118,-1,3,1.0000863085641853
119,-1,1,1.000086308834108
120,-1,0,1.000086308834108
121,-1,0,1.0000863078920956
122,-1,0,1.0000863078920956
123,-1,1,1.000086309866662
124,5,0,1.0000863248860015
125,-1,4,0.000005577581624327316
126,-1,0,0.000005577581624327316
127,-1,0,0.000021640395621452654
128,-1,0,0.000021640395621452654
129,-1,1,0.000026121324641343684
130,5,0,0.00007939958538802557
131,-1,5,0.000006677586056238009
132,-1,0,0.000006677586056238009
133,-1,0,0.000008699985587368504
134,-1,1,0.000008699985587368504
135,-1,0,0.000026343848982596303
136,6,0,0.00019691135284654598
