step,opt_time,step_time,diff_norm
0,-1,8,1.001952513923184
1,-1,5,2.00368985297302
2,-1,1,2.003689857474483
3,-1,0,2.003689857474483
4,-1,1,2.0036898560747916
5,-1,1,2.0036898560747916
6,12,0,2.00368984652073
7,-1,4,4.0065860396234845
8,-1,1,4.006586043106061
9,-1,0,4.006586043106061
10,-1,0,4.006586042684087
11,-1,0,4.006586042684087
12,6,1,4.006586038089294
13,-1,3,2.002934864622875
14,-1,1,2.002934866897919
15,-1,0,2.002934866897919
16,-1,0,2.002934866274866
17,-1,0,2.002934866274866
18,5,1,2.0029348606537893
19,-1,3,3.0039991246677338
20,-1,0,3.0039991263989743
21,-1,1,3.0039991263989743
22,-1,0,3.003999126148469
23,-1,0,3.003999126148469
24,5,0,3.0039991240823536
25,-1,2,4.004657908340929
26,-1,0,4.004657909865032
27,-1,1,4.004657909865032
28,-1,0,4.004657909681562
29,-1,0,4.004657909681562
30,3,0,4.004657908628042
31,-1,3,2.002071767594992
32,-1,1,2.002071768672555
33,-1,0,2.002071768672555
34,-1,0,2.002071768329233
35,-1,0,2.002071768329233
36,5,1,2.0020717671645816
37,-1,3,4.0036866762160805
38,-1,0,4.0036866772105775
39,-1,0,4.0036866772105775
40,-1,0,4.00368667701977
41,-1,1,4.00368667701977
42,4,0,4.003686676671648
43,-1,2,2.0016381802733156
44,-1,0,2.0016381811165664
45,-1,1,2.0016381811165664
46,-1,0,2.0016381807151227
47,-1,0,2.0016381807151227
48,4,0,2.001638180304248
49,-1,2,2.001514290412533
50,-1,1,2.0015142911688333
51,-1,0,2.0015142911688333
52,-1,0,2.0015142907402024
53,-1,0,2.0015142907402024
54,4,0,2.0015142905032635
55,-1,3,3.0020586715044293
56,-1,0,3.0020586721459512
57,-1,0,3.0020586721459512
58,-1,0,3.002058671800612
59,-1,1,3.002058671800612
60,4,0,3.0020586716984674
61,-1,3,3.001828703380235
62,-1,1,3.001828703989052
63,-1,0,3.001828703989052
64,-1,0,3.001828703553878
65,-1,0,3.001828703553878
66,4,0,3.0018287035015074
67,-1,2,1.000563074605402
68,-1,1,1.0005630756395885
69,-1,0,1.0005630756395885
70,-1,0,1.0005630735586644
71,-1,0,1.0005630735586644
72,-1,0,1.0005630778888832
73,3,0,1.000563110654038
74,-1,2,2.001061323864189
75,-1,1,2.0010613241661126
76,-1,0,2.0010613241661126
77,-1,0,2.001061323621101
78,-1,0,2.001061323621101
79,-1,1,2.0010613241735435
80,4,0,2.0010613340783387
81,-1,3,2.000980552965512
82,-1,0,2.000980553631831
83,-1,0,2.000980553631831
84,-1,0,2.000980551952658
85,-1,0,2.000980551952658
86,-1,0,2.0009805569646595
87,4,1,2.0009805959189824
88,-1,2,2.0009058686794834
89,-1,0,2.0009058678150957
90,-1,0,2.0009058678150957
91,-1,0,2.000905872070862
92,-1,0,2.000905872070862
93,-1,1,2.0009058649358873
94,3,0,2.000905830245778
95,-1,3,1.0004268360832114
96,-1,0,1.0004268365805997
97,-1,0,1.0004268365805997
98,-1,0,1.0004268344781773
99,-1,1,1.0004268344781773
100,-1,0,1.0004268411288484
101,5,1,1.0004268804821297
102,-1,3,2.000804433220872
103,-1,0,2.000804432405023
104,-1,0,2.000804432405023
105,-1,1,2.0008044359903603
106,-1,0,2.0008044359903603
107,-1,0,2.000804430020724
108,4,0,2.000804399407645
109,-1,3,2.000743324309487
110,-1,0,2.0007433250380315
111,-1,0,2.0007433250380315
112,-1,0,2.000743322177183
113,-1,0,2.000743322177183
114,-1,1,2.000743326836759
115,4,0,2.0007433479810093
116,-1,2,1.00035019982691
117,-1,1,1.000350198983505
118,-1,0,1.000350198983505
119,-1,0,1.000350203878368
120,-1,0,1.000350203878368
121,-1,0,1.0003501951082183
122,3,0,1.0003501645175037
123,-1,3,1.0003367040278688
124,-1,0,1.000336703299462
125,-1,0,1.000336703299462
126,-1,0,1.0003367071824687
127,-1,0,1.0003367071824687
128,-1,2,1.0003367026098908
129,5,0,1.0003366861159981
130,-1,2,2.000634733670522
131,-1,0,2.0006347338911343
132,-1,1,2.0006347338911343
133,-1,0,2.0006347323761533
134,-1,0,2.0006347323761533
135,-1,0,2.000634735126978
136,3,0,2.000634749891704
137,-1,3,1.0002991076774215
138,-1,0,1.0002991071278213
139,-1,0,1.0002991071278213
140,-1,0,1.0002991100653669
141,-1,0,1.0002991100653669
