step,opt_time,step_time,diff_norm
0,-1,7,1.000825079303931
1,-1,5,3.000682237477619
2,-1,1,3.0006822375250466
3,-1,0,3.0006822375250466
4,-1,1,3.000682237499923
5,-1,0,3.000682237499923
6,8,0,3.0006822374997304
7,-1,3,2.000501348543363
8,-1,0,2.0005013485983536
9,-1,1,2.0005013485983536
10,-1,0,2.0005013485486254
11,-1,1,2.0005013485486254
12,6,0,2.000501348552977
13,-1,3,2.0005422027666375
14,-1,0,2.0005422028298936
15,-1,1,2.0005422028298936
16,-1,0,2.0005422027639965
17,-1,0,2.0005422027639965
18,5,1,2.0005422027739823
19,-1,3,6.001905763015653
20,-1,0,6.001905763160385
21,-1,0,6.001905763160385
22,-1,0,6.0019057631049755
23,-1,0,6.0019057631049755
24,4,0,6.001905763119244
25,-1,3,2.0007431107935756
26,-1,0,2.0007431109122717
27,-1,0,2.0007431109122717
28,-1,0,2.000743110682575
29,-1,0,2.000743110682575
30,4,1,2.000743110750289
31,-1,2,2.0008042792740506
32,-1,1,2.000804279414175
33,-1,0,2.000804279414175
34,-1,0,2.0008042791251723
35,-1,0,2.0008042791251723
36,4,1,2.0008042792132397
37,-1,3,3.0013321235889783
38,-1,0,3.0013321237756965
39,-1,0,3.0013321237756965
40,-1,0,3.001332123495235
41,-1,0,3.001332123495235
42,5,2,3.0013321235831913
43,-1,2,2.000980326292981
44,-1,0,2.000980326504503
45,-1,0,2.000980326504503
46,-1,0,2.0009803259715198
47,-1,1,2.0009803259715198
48,-1,0,2.0009803270730475
49,3,0,2.000980338624132
50,-1,3,3.001623707093352
51,-1,0,3.0016237074592307
52,-1,0,3.0016237074592307
53,-1,0,3.0016237072913667
54,-1,0,3.0016237072913667
55,4,1,3.0016237072457663
56,-1,2,2.0011948014790892
57,-1,0,2.001194801902921
58,-1,1,2.001194801902921
59,-1,1,2.0011948015985492
60,-1,0,2.0011948015985492
61,4,0,2.001194801570028
62,-1,3,3.001978548414202
63,-1,0,3.001978548909807
64,-1,0,3.001978548909807
65,-1,0,3.0019785486428834
66,-1,0,3.0019785486428834
67,5,0,3.001978548651343
68,-1,3,2.0014554725151474
69,-1,0,2.001455473077462
70,-1,0,2.001455473077462
71,-1,1,2.0014554725679496
72,-1,0,2.0014554725679496
73,4,0,2.001455472625966
74,-1,3,2.0015746736579083
75,-1,0,2.0015746742982774
