step,opt_time,step_time,diff_norm
0,-1,11,4.121280430590142
1,-1,7,3.288896302849086
2,-1,0,3.5891069821739223
3,-1,2,3.594366415789438
4,-1,2,3.630196456034574
5,-1,1,3.678210684996723
6,-1,1,3.8830529617320475
7,-1,4,13.60582354952231
8,-1,1,15.637604159026596
9,-1,1,17.20814473263759
10,-1,1,17.84900799573921
11,-1,1,19.316419243460984
12,-1,1,20.03242820147162
13,-1,1,20.736816773585186
14,-1,1,20.386027807347777
15,-1,1,20.581144656194184
16,-1,1,20.59124391849202
17,-1,1,20.59063938252926
18,-1,1,20.709805653878625
19,-1,1,20.915073445430338
20,-1,4,8.850262474594903
21,-1,0,9.312600391741741
22,-1,1,9.34046635196544
23,-1,1,9.614852706742852
24,-1,0,10.276160410491576
25,-1,1,12.284990521499731
26,-1,1,12.642743985099317
27,-1,1,13.013390115915616
28,-1,1,14.980820172620966
29,-1,1,14.937692847445396
30,-1,0,15.719369358965837
31,-1,2,16.26342214137089
32,-1,0,16.259198737360993
33,-1,1,16.361741911200824
34,-1,0,16.39803797555833
35,-1,1,16.479420146114414
36,-1,0,16.821210270297563
37,-1,1,16.885615591850037
38,-1,5,25.185628475251036
39,-1,0,35.18959074733257
40,-1,1,32.055583049195754
41,-1,0,32.91841441849084
42,-1,1,32.59851975111498
43,-1,1,32.90972194887371
44,-1,1,32.938912976016205
45,-1,0,33.0538213146991
46,-1,1,33.15540492885342
47,-1,1,33.17550862301371
48,-1,1,33.26547656330403
49,-1,1,33.47489452500335
50,-1,1,33.72829551226678
51,-1,1,33.91959356570629
52,-1,1,33.98198610862665
53,-1,0,34.057037311619716
54,-1,1,34.134631073228036
55,-1,1,34.24150025620377
56,-1,4,138.6776582894522
57,-1,0,92.51955805265692
58,-1,1,77.43385432581145
59,-1,0,73.89435779959035
60,-1,1,80.64191823536856
61,-1,0,80.54662247168416
62,-1,1,79.90405427902276
63,-1,1,80.41820711601471
64,-1,1,80.29348139697221
65,-1,1,80.30024156703247
66,-1,1,80.34044215526235
67,-1,1,80.2931692318748
68,-1,0,80.29298943749058
69,-1,1,80.31687269603714
70,-1,1,80.30105846106264
71,-1,0,80.30624650441237
72,-1,1,80.30906824248234
73,-1,1,80.30511676024503
74,-1,2,80.3061049465299
75,-1,1,80.306717160719
76,-1,0,80.30673077000536
77,-1,2,80.30641386477032
78,-1,0,80.3064421076029
79,-1,2,80.30647750196952
80,-1,1,80.3064210963524
81,-1,4,65.90394002556243
82,-1,1,57.42195184347292
83,-1,0,59.91419898432153
84,-1,1,62.094759744022596
85,-1,1,61.06603537985382
86,-1,0,61.24859189514271
87,-1,1,61.18826180645813
88,-1,1,61.160435550067184
89,-1,1,61.197919075945755
90,-1,1,61.17794608649725
91,-1,1,61.17506415568573
92,-1,1,61.184012279286314
93,-1,1,61.18149627074103
94,-1,1,61.18072820822589
95,-1,0,61.182839894671496
96,-1,1,61.18115133093634
97,-1,1,61.18142275770288
98,-1,1,61.18178381067816
99,-1,1,61.18148713999433
100,-1,2,61.1814943948107
101,-1,1,61.18157371079555
102,-1,1,61.181609175159544
103,-1,1,61.18153815241387
104,-1,1,61.18155192251089
105,-1,1,61.18157146043686
106,-1,3,59.893703676933455
107,-1,1,48.527872715872
108,-1,0,46.51803162336528
109,-1,1,48.453037080716676
110,-1,1,47.384729679534075
111,-1,1,47.67173134914517
112,-1,1,47.582909124723834
113,-1,1,47.55147966150468
114,-1,0,47.595421124913756
115,-1,1,47.60374689014025
116,-1,1,47.582833206448754
117,-1,1,47.60485912208949
118,-1,1,47.599773806725146
119,-1,0,47.67557169687703
120,-1,1,47.67132051060978
121,-1,1,47.68788883020878
122,-1,1,47.68861987219789
123,-1,1,47.68948451600087
124,-1,1,47.689317113474594
125,-1,1,47.68910651051956
126,-1,1,47.6893497503078
127,-1,0,47.68960927884205
128,-1,2,47.68940015392349
129,-1,1,47.689254286824536
130,-1,1,47.68931923230638
131,-1,1,47.68937714351263
132,-1,1,47.689348130065916
133,-1,0,47.689337903022235
134,-1,1,47.6893423050215
135,-1,1,47.6893477593478
136,-1,1,47.68934451279334
137,-1,0,47.68934509118928
138,-1,0,47.68934509118928
139,-1,2,47.65926874367323
140,-1,1,47.65148217548705
141,-1,3,37.904197664278236
142,-1,2,41.05480425008053
143,-1,0,39.2281816257877
144,-1,0,40.116912271809085
145,-1,1,39.86407397238221
146,-1,0,39.93117298941872
147,-1,1,39.88110138578134
148,-1,1,39.9241087726378
149,-1,1,39.953723433741395
150,-1,1,39.979954421590186
151,-1,1,39.99517857896698
152,-1,1,40.06198449777615
153,-1,0,40.30793934496888
154,-1,1,40.394626578414126
155,-1,1,40.48467716919418
156,-1,0,40.47376481760704
157,-1,1,40.48452600998686
158,-1,1,40.48226512171855
159,-1,1,40.48268998122351
160,-1,1,40.48316715135895
161,-1,1,40.48372329564545
162,-1,1,40.48382220173067
163,-1,2,40.48364626959598
164,-1,0,40.48371112240015
165,-1,0,40.48379518395381
166,-1,2,40.48372231701257
167,-1,0,40.48373778751218
168,-1,2,40.48373968807656
169,-1,0,40.48373453433507
170,-1,0,40.483735593583425
171,-1,0,40.483735593583425
172,-1,3,40.481101251345585
173,-1,0,40.482973698435835
174,-1,1,40.48318874727542
175,-1,1,40.48313833845065
176,-1,1,40.483236220425894
177,-1,0,40.48322474892624
178,-1,1,40.48320152407116
179,-1,0,40.48321093344088
180,-1,1,40.48320774899652
181,-1,3,16.79749606835052
182,-1,1,17.9869608579003
183,-1,1,17.521977206114013
184,-1,0,17.80948749255373
185,-1,1,18.001095257092437
186,-1,0,18.058323954941102
187,-1,1,18.224400568075612
188,-1,1,18.403652255657743
189,-1,0,19.008429539452518
190,-1,1,18.929665770686057
191,-1,1,18.96866093814448
192,-1,1,18.967716568913502
193,-1,1,18.964248766875567
194,-1,1,18.963504965498018
195,-1,1,18.964093058017852
196,-1,1,18.96424624666967
197,-1,1,18.9645148878403
198,-1,1,18.96452473673531
199,-1,1,18.964478809538328
200,-1,1,18.964491658617465
201,-1,1,18.964501765798314
202,-1,0,18.964496796071295
203,-1,0,18.96450096256516
204,-1,0,18.96450096256516
205,-1,2,18.959758444657332
206,-1,1,18.96351593002586
207,-1,1,18.963254750333842
208,-1,1,18.963921040536434
209,-1,0,18.963991813272745
210,-1,0,18.963763679421014
211,-1,1,18.963528394225037
212,-1,0,18.96207499247894
213,-1,1,18.96110048963585
214,-1,1,18.960823629596486
215,-1,0,18.96049573183472
216,-1,1,18.96051313741015
217,-1,1,18.95568005367402
218,-1,0,18.955860734437778
219,-1,1,18.95628291841411
220,-1,0,18.956140838789285
221,-1,1,18.95617764129089
222,-1,1,18.956158593054788
223,-1,4,2.2540882031258147
224,-1,0,2.2758215990488018
225,-1,1,2.2735027137974706
226,-1,0,2.273669273179262
227,-1,1,2.275609654442376
228,-1,1,2.275372040970605
229,-1,1,2.2757470138709217
230,-1,0,2.2763507111301307
231,-1,3,0.35845233377485275
232,-1,1,0.2227174818481993
233,-1,0,0.17174823402072245
234,-1,1,0.17017231799203944
235,-1,0,0.1740968135212165
236,-1,1,0.46831649831903693
237,-1,1,0.4399307541881842
238,-1,0,0.4590278194822903
239,-1,1,0.4828413745768126
240,-1,1,0.48675652676553244
241,-1,1,0.48580069155661487
242,-1,1,0.4850314257142024
243,-1,0,0.48558700577288716
244,-1,1,0.4856034264500124
245,-1,1,0.48555233324665226
246,-1,0,0.48555233324665226
247,-1,2,0.48628623194159637
248,-1,0,0.4854413143748869
249,-1,2,0.4853179586618886
250,-1,1,0.48534366976284365
251,-1,1,0.4853785182570126
252,-1,0,0.4853655731884591
253,-1,1,0.4853655325238719
254,-1,0,0.4853655325238719
255,-1,2,0.5147203978869672
256,-1,1,0.4960627830082445
257,-1,0,0.49199508813252724
258,-1,1,0.49196776927760594
259,-1,1,0.4920012239250361
260,-1,1,0.49196202109514986
261,-1,3,0.4919798701693997
262,-1,0,0.49197699683069335
263,-1,1,0.4919777703490244
264,-1,1,0.4919764835857035
265,-1,0,0.4919763298543091
266,-1,0,0.4919763298543091
267,-1,3,0.4920348349122922
268,-1,0,0.49193741021469484
269,-1,1,0.4919741653913648
270,-1,1,0.4919758988610471
271,-1,0,0.4919760755109419
272,37,1,0.4919765261407313
