step,opt_time,step_time,diff_norm
0,NaN,NaN,0.012493133544921875
1,-1,20,0
2,-1,4,0
3,-1,0,0
4,-1,1,0
5,-1,0,0
6,6,1,0.75
7,-1,5,0.75
8,-1,1,0.75
9,-1,0,0.75
10,-1,2,0.75
11,-1,6,0.75
12,-1,1,0.75
13,-1,0,0.75
14,-1,1,0.75
15,-1,0,0.75
16,9,1,0
17,-1,2,0
18,-1,0,0
19,-1,1,0
20,-1,0,0
21,3,0,0.75
22,-1,4,0.75
23,-1,0,0.75
24,-1,0,0.75
25,-1,1,0.75
26,-1,0,0.75
27,6,1,0.75
28,-1,4,0.75
29,-1,1,0.75
30,-1,0,0.75
31,-1,0,0.75
32,-1,0,0.75
33,6,1,0.75
34,-1,4,0.75
35,-1,1,0.75
36,-1,0,0.75
37,-1,0,0.75
38,-1,1,0.75
39,6,0,0.75
40,-1,4,0.75
41,-1,1,0.75
42,-1,0,0.75
43,-1,1,0.75
44,-1,0,0.75
45,7,1,0.75
46,-1,3,0.75
47,-1,1,0.75
48,-1,0,0.75
49,-1,1,0.75
50,-1,0,0.75
51,6,1,1.5
52,-1,3,1.5
53,-1,0,1.5
54,-1,0,1.5
55,-1,1,1.5
56,-1,0,1.5
57,5,1,2.25
58,-1,4,2.25
59,-1,0,2.25
60,-1,0,2.25
61,-1,1,2.25
62,-1,0,2.25
63,6,1,3
64,-1,3,3
65,-1,1,3
66,-1,0,3
67,-1,0,3
68,-1,0,3
69,5,1,2.25
70,-1,3,2.25
71,-1,1,2.25
72,-1,0,2.25
73,-1,1,2.25
74,-1,0,2.25
75,5,0,4.5
76,-1,3,4.5
77,-1,1,4.5
78,-1,0,4.5
79,-1,1,4.5
80,-1,0,4.5
81,6,0,3.75
82,-1,5,3.75
83,-1,1,3.75
84,-1,0,3.75
85,-1,1,3.75
86,-1,0,3.75
87,7,0,3
88,-1,4,3
89,-1,0,3
90,-1,0,3
91,-1,1,3
92,-1,0,3
93,6,1,3
94,-1,4,3
95,-1,0,3
96,-1,0,3
97,-1,1,3
98,-1,0,3
99,6,1,3
100,-1,3,3
101,-1,1,3
102,-1,0,3
103,-1,1,3
104,-1,0,3
105,6,0,2.25
106,-1,4,2.25
107,-1,0,2.25
108,-1,0,2.25
109,-1,1,2.25
110,-1,0,2.25
111,6,1,3
112,-1,4,3
113,-1,1,3
114,-1,0,3
115,-1,1,3
116,-1,0,3
117,6,0,3
118,-1,4,3
119,-1,0,3
120,-1,1,3
121,-1,0,3
122,-1,0,3
123,6,1,2.25
124,-1,4,2.25
125,-1,1,2.25
126,-1,0,2.25
127,-1,0,2.25
128,-1,0,2.25
129,6,1,2.25
130,-1,5,2.25
131,-1,0,2.25
132,-1,0,2.25
133,-1,1,2.25
134,-1,0,2.25
135,7,1,2.25
136,-1,4,2.25
137,-1,1,2.25
138,-1,0,2.25
139,-1,1,2.25
140,-1,0,2.25
141,6,0,1.5
142,-1,4,1.5
143,-1,0,1.5
144,-1,0,1.5
145,-1,1,1.5
146,-1,0,1.5
147,6,1,1.5
148,-1,4,1.5
149,-1,0,1.5
150,-1,0,1.5
151,-1,1,1.5
152,-1,0,1.5
153,6,1,1.5
154,-1,4,1.5
155,-1,0,1.5
156,-1,0,1.5
157,-1,1,1.5
158,-1,0,1.5
159,5,0,0.75
160,-1,4,0.75
161,-1,1,0.75
162,-1,0,0.75
163,-1,0,0.75
164,-1,0,0.75
165,6,1,0.75
166,-1,4,0.75
167,-1,1,0.75
168,-1,0,0.75
169,-1,1,0.75
170,-1,0,0.75
171,6,0,1.5
172,-1,3,1.5
173,-1,1,1.5
174,-1,0,1.5
175,-1,1,1.5
176,-1,0,1.5
177,5,0,0
178,-1,2,0
179,-1,0,0
180,-1,1,0
181,-1,0,0
182,3,0,0.75
183,-1,4,0.75
184,-1,1,0.75
185,-1,0,0.75
186,-1,0,0.75
187,-1,0,0.75
188,6,1,0.012019862805914272
189,-1,4,0.012019862805914272
190,-1,0,0.012273858064475007
191,-1,2,0.012327285234562169
192,-1,0,0.012327285234562169
193,-1,2,0.01248808294127457
194,-1,1,0.012490606693233985
195,9,0,
